,temp,pres,rh,ws,PBLH,VentCoef
2019-07-18,286.9291666666667,1017.9166666666666,79.375,1.05,508.1578947368421,842.6999999999999
2019-07-19,288.98333333333335,1012.125,80.58333333333333,1.5583333333333333,400.40909090909093,836.7272727272727
2019-07-20,292.7,1002.375,77.875,3.283333333333333,935.875,3293.366666666667
2019-07-21,289.46250000000003,1005.875,65.29166666666667,3.9,1387.6666666666667,6923.066666666667
2019-07-22,284.73333333333335,1019.8333333333334,61.25,2.35,822.625,2400.0750000000003
2019-07-23,282.625,1024.9166666666667,67.0,2.1999999999999997,812.4166666666666,2304.8416666666667
2019-07-24,284.1333333333333,1026.0,63.208333333333336,1.4458333333333335,488.2916666666667,826.6291666666667
2019-07-25,284.825,1017.0833333333334,91.66666666666667,2.4583333333333335,648.625,2029.5333333333335
2019-07-26,285.0625,1020.375,92.58333333333333,1.3166666666666667,472.95238095238096,1101.0714285714287
2019-07-27,285.6791666666667,1024.1666666666667,76.125,1.325,335.1818181818182,533.6090909090909
2019-07-28,286.15000000000003,1018.0833333333334,78.83333333333333,1.7708333333333333,421.54545454545456,1330.1227272727274
2019-07-29,285.0708333333333,1015.4583333333334,80.83333333333333,0.9416666666666668,486.35714285714283,882.2642857142857
2019-07-30,287.1041666666667,1012.3333333333334,75.33333333333333,2.6458333333333335,656.625,2401.3125
2019-07-31,288.9875,1006.2083333333334,68.95833333333333,2.2708333333333335,1064.2380952380952,3418.095238095238
2019-08-01,284.575,1015.0,46.958333333333336,3.908333333333333,1372.0416666666667,6705.241666666666
2019-08-02,283.93333333333334,1023.1666666666666,47.541666666666664,2.9499999999999997,1202.9583333333333,4575.716666666666
2019-08-03,284.92083333333335,1025.9583333333333,51.208333333333336,2.033333333333333,865.2380952380952,2934.342857142857
2019-08-04,286.65416666666664,1023.625,49.75,3.983333333333333,1394.0,6221.054166666666
2019-08-05,288.15833333333336,1015.9166666666666,55.583333333333336,3.3125,1105.5833333333333,3823.025
2019-08-06,289.1166666666667,1013.4166666666666,61.833333333333336,2.5833333333333335,1217.4736842105262,5249.642105263158
2019-08-07,285.6375,1021.5,54.875,2.5208333333333335,683.875,2175.5875
2019-08-08,283.8958333333333,1022.0833333333334,68.875,3.15,932.5416666666666,3354.9083333333333
2019-08-09,281.09166666666664,1016.5416666666666,79.70833333333333,1.7666666666666666,476.95652173913044,1257.4652173913043
2019-08-10,285.76666666666665,1015.2916666666666,55.666666666666664,2.4499999999999997,639.875,1854.6708333333333
2019-08-11,286.5416666666667,1013.4583333333334,66.70833333333333,2.4875000000000003,899.2916666666666,3061.816666666667
2019-08-12,281.35833333333335,1026.0416666666667,65.04166666666667,2.9499999999999997,1137.875,4254.141666666666
2019-08-13,279.425,1033.0416666666667,60.5,1.4833333333333334,675.3888888888889,1597.4499999999998
2019-08-14,282.82916666666665,1025.125,60.875,3.5375,941.8333333333334,4197.966666666666
2019-08-15,286.72499999999997,1016.4166666666666,69.5,1.2833333333333334,592.6363636363636,968.3409090909091
2019-08-16,289.1041666666667,1007.0833333333334,75.08333333333333,1.4666666666666668,470.6818181818182,967.2772727272727
2019-08-17,284.975,1014.0416666666666,74.54166666666667,2.0791666666666666,650.1739130434783,1815.378260869565
2019-08-18,280.5833333333333,1026.4166666666667,56.125,2.8208333333333333,1018.0,4003.4
2019-08-19,280.7,1027.5416666666667,57.291666666666664,1.9166666666666667,586.9166666666666,1211.4041666666667
2019-08-20,282.425,1028.25,65.29166666666667,2.245833333333333,547.5416666666666,1492.9499999999998
2019-08-21,283.49583333333334,1025.7916666666667,73.95833333333333,2.4583333333333335,685.1739130434783,2085.5173913043477
2019-08-22,283.8333333333333,1024.6666666666667,70.20833333333333,0.6916666666666668,400.38461538461536,552.8615384615384
2019-08-23,286.7583333333333,1021.375,66.58333333333333,1.9666666666666668,473.69565217391306,1409.891304347826
2019-08-24,288.09583333333336,1019.0833333333334,67.25,2.470833333333333,957.4166666666666,2762.9791666666665
2019-08-25,289.1791666666667,1015.75,77.125,1.4833333333333334,426.95652173913044,847.9869565217392
2019-08-26,291.0625,1017.3333333333334,80.54166666666667,1.0416666666666667,248.25,471.1
2019-08-27,292.78749999999997,1015.4583333333334,72.08333333333333,3.2416666666666667,773.9166666666666,2826.691666666667
2019-08-28,295.9291666666667,1005.125,67.375,3.0875,958.6666666666666,3309.8958333333335
2019-08-29,289.4458333333333,1011.5833333333334,59.875,1.9000000000000001,662.125,1433.3916666666667
2019-08-30,284.78333333333336,1015.2916666666666,63.5,1.3541666666666667,487.60869565217394,812.7913043478261
2019-08-31,286.05,1017.25,46.625,1.5250000000000001,905.75,2380.10625
2019-09-01,283.41249999999997,1016.0,48.875,1.8,856.8333333333334,3387.9222222222224
2019-09-02,282.2375,1018.6666666666666,52.608695652173914,2.6695652173913045,876.0,2894.3217391304347
2019-09-03,282.33750000000003,1022.7916666666666,46.5,1.925,620.4583333333334,1585.1333333333332
2019-09-04,282.9583333333333,1029.25,49.416666666666664,2.1375,697.9583333333334,1978.1291666666668
2019-09-05,283.6125,1024.5,68.33333333333333,3.408333333333333,841.5416666666666,3239.2916666666665
2019-09-06,287.0625,1014.2083333333334,76.54166666666667,2.5708333333333333,804.8695652173913,2436.330434782609
2019-09-07,287.3541666666667,1011.3333333333334,80.16666666666667,1.2416666666666667,572.6875,1340.8500000000001
2019-09-08,287.73333333333335,1008.1666666666666,82.54166666666667,2.3125,502.5,1500.0666666666666
2019-09-09,286.225,1011.25,89.625,2.466666666666667,818.3333333333334,2572.679166666667
2019-09-10,286.34999999999997,1017.3333333333334,79.16666666666667,1.8208333333333335,455.2916666666667,930.8875000000002
2019-09-11,286.1458333333333,1016.4583333333334,69.08333333333333,2.0791666666666666,626.0869565217391,1663.4434782608694
2019-09-12,287.5625,1019.75,56.416666666666664,1.2583333333333333,340.25,775.19
2019-09-13,288.075,1018.0416666666666,69.66666666666667,2.6791666666666667,539.7391304347826,2075.5391304347822
2019-09-14,289.57916666666665,1008.4583333333334,72.66666666666667,2.0541666666666667,540.304347826087,1406.1130434782608
2019-09-15,290.31666666666666,1010.1666666666666,60.5,2.841666666666667,868.875,3511.6
2019-09-16,287.84583333333336,1015.0,39.34782608695652,1.817391304347826,412.6363636363636,1204.659090909091
2019-09-17,290.93333333333334,1007.0833333333334,40.583333333333336,2.1333333333333333,623.5833333333334,1637.9125000000001
2019-09-18,291.0125,1002.25,47.708333333333336,2.875,928.625,2935.1875
2019-09-19,285.9,1012.9583333333334,37.333333333333336,1.9833333333333334,934.4090909090909,2929.013636363636
2019-09-20,288.8875,1016.6666666666666,30.958333333333332,1.55,598.6,1474.575
