date,PM2.5,Cl,NO3,SO4,Na,NH4,Mg,Al,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Mo,Ag,Cd,Sb,Ba,Pb,OCPk1 C,OCPk2 C,OCPk3 C,OCPk4 C,OCPk5 C,Pyrol C,ECPk1 C,ECPk2 C,ECPk3 C,ECPk4 C,ECPk5 C,ECPk6 C,C Orgánico,C Elemental,C Total,Event,ws,wd,temp,rh,pres,blh
2019-04-07 06:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,1.5,270,285.6,90,1017,216
2019-04-07 07:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,1,270,285.9,91,1018,193.2
2019-04-07 08:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,1,274,286.1,90,1018,171.5
2019-04-07 09:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,1.5,268,290.2,73,1018,137.7
2019-04-07 10:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,1.5,228,293.4,59,1018,111.4
2019-04-07 11:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,1.5,229,295.1,51,1018,102.8
2019-04-09 12:00:00,21.6,0.1659,0.427,0.3862,0.5039,0.1202,0.239,0.3069,0.2238,0.362,0.01035,0.002732,0.002763,0.005121,0.1866,0.0001331,0.00132,0.003337,0.009671,0.0002075,0,0.0003693,0,3.865e-06,0.0006746,0.01307,0.003221,2.764,1.985,0.821,1.415,0.02473,1.219,0.1195,0.346,1.52,0.7581,0.03232,0.03171,7.584,1.566,9.149,no,2.6,322,299.4,42,1015,189.2
2019-04-09 13:00:00,21.6,0.1659,0.427,0.3862,0.5039,0.1202,0.239,0.3069,0.2238,0.362,0.01035,0.002732,0.002763,0.005121,0.1866,0.0001331,0.00132,0.003337,0.009671,0.0002075,0,0.0003693,0,3.865e-06,0.0006746,0.01307,0.003221,2.764,1.985,0.821,1.415,0.02473,1.219,0.1195,0.346,1.52,0.7581,0.03232,0.03171,7.584,1.566,9.149,no,2.6,338,300.1,44,1015,260.9
2019-04-09 14:00:00,21.6,0.1659,0.427,0.3862,0.5039,0.1202,0.239,0.3069,0.2238,0.362,0.01035,0.002732,0.002763,0.005121,0.1866,0.0001331,0.00132,0.003337,0.009671,0.0002075,0,0.0003693,0,3.865e-06,0.0006746,0.01307,0.003221,2.764,1.985,0.821,1.415,0.02473,1.219,0.1195,0.346,1.52,0.7581,0.03232,0.03171,7.584,1.566,9.149,no,2.6,320,300.1,44,1014,431.3
2019-04-09 15:00:00,21.6,0.1659,0.427,0.3862,0.5039,0.1202,0.239,0.3069,0.2238,0.362,0.01035,0.002732,0.002763,0.005121,0.1866,0.0001331,0.00132,0.003337,0.009671,0.0002075,0,0.0003693,0,3.865e-06,0.0006746,0.01307,0.003221,2.764,1.985,0.821,1.415,0.02473,1.219,0.1195,0.346,1.52,0.7581,0.03232,0.03171,7.584,1.566,9.149,no,3.1,324,300.4,44,1013,648.1
